附件,拟合区间,自由色散参数,厚度_um,标准误_um,RMSE_%,点数,组合法初值_um
1,2000-3800,False,7.577004908061108,0.002347293697878995,0.06235816257264855,3733,7.564227369036521
1,2000-3800,True,7.572669755355531,0.002583997575132388,0.055378052421448914,3733,7.564227369036521
2,2000-3800,False,7.257603951922684,0.0028493055929434165,0.07840002570813542,3733,7.214500264963238
2,2000-3800,True,7.256670063420961,0.0034470606692652917,0.07741117558537294,3733,7.214500264963238
3,1500-3800,False,3.625918086138931,0.0019561184262011635,0.5909415938444517,4770,3.6610905173560067
3,1500-3800,True,3.640656591249933,0.002517313697112873,0.4399675144554172,4770,3.6610905173560067
3,1000-3800,False,3.7998586905401632,0.002217739813440754,2.103704783272033,5807,3.6610905173560067
3,1000-3800,True,3.749237568232705,0.004129726960533324,1.5563690438509974,5807,3.6610905173560067
4,1500-3800,False,3.3665528465512726,0.0020382930786699087,0.6905289219372309,4770,3.4128982396489143
4,1500-3800,True,3.3790051662182803,0.0026144139830707406,0.49974581752109937,4770,3.4128982396489143
4,1000-3800,False,3.5402814535376024,0.0020904425698118705,2.215815218027538,5807,3.4128982396489143
4,1000-3800,True,3.490796709542602,0.003947726876293198,1.678713722321043,5807,3.4128982396489143
