omega_i,kind_i,n_i,omega_j,kind_j,n_j,N,d_um
2079.2764652251467,peak,2.416212632430617,2325.729381616121,peak,2.4394513087344984,1.0,7.714519848030671
2079.2764652251467,peak,2.416212632430617,2449.938891638228,trough,2.4506528867283595,1.5,7.669687689301826
2079.2764652251467,peak,2.416212632430617,2584.1414149594834,peak,2.4615236736607735,2.0,7.495719242135258
2079.2764652251467,peak,2.416212632430617,2704.614596051423,trough,2.4684875177200447,2.5,7.5813402803407355
2079.2764652251467,peak,2.416212632430617,2841.635169188367,peak,2.4743239886453106,3.0,7.489489073377887
2079.2764652251467,peak,2.416212632430617,2960.9086092390266,trough,2.479070459118207,3.5,7.571533088325342
2079.2764652251467,peak,2.416212632430617,3093.4212734000293,peak,2.484125722436693,4.0,7.5339025261106265
2079.2764652251467,peak,2.416212632430617,3217.8082518249066,trough,2.4881874927515772,4.5,7.560469379203321
2079.2764652251467,peak,2.416212632430617,3350.698665594116,peak,2.4916298292550993,5.0,7.535980978301794
2079.2764652251467,peak,2.416212632430617,3466.8950395655497,trough,2.4940832818721534,5.5,7.60769921093851
2079.2764652251467,peak,2.416212632430617,3609.083763282071,peak,2.4967540044499237,6.0,7.541115429441573
2079.2764652251467,peak,2.416212632430617,3721.000043395643,trough,2.4988783629856424,6.5,7.620403507210788
2197.524741573599,trough,2.428263962665814,2449.938891638228,trough,2.4506528867283595,1.0,7.503564667260214
2197.524741573599,trough,2.428263962665814,2584.1414149594834,peak,2.4615236736607735,1.5,7.334466889343924
2197.524741573599,trough,2.428263962665814,2704.614596051423,trough,2.4684875177200447,2.0,7.477980717524509
2197.524741573599,trough,2.428263962665814,2841.635169188367,peak,2.4743239886453106,2.5,7.390846374958698
2197.524741573599,trough,2.428263962665814,2960.9086092390266,trough,2.479070459118207,3.0,7.500887857232112
2197.524741573599,trough,2.428263962665814,3093.4212734000293,peak,2.484125722436693,3.5,7.4686070041372306
2197.524741573599,trough,2.428263962665814,3217.8082518249066,trough,2.4881874927515772,4.0,7.506154706197865
2197.524741573599,trough,2.428263962665814,3350.698665594116,peak,2.4916298292550993,4.5,7.485297486790998
2197.524741573599,trough,2.428263962665814,3466.8950395655497,trough,2.4940832818721534,5.0,7.568341695122276
2197.524741573599,trough,2.428263962665814,3609.083763282071,peak,2.4967540044499237,5.5,7.500001887189465
2197.524741573599,trough,2.428263962665814,3721.000043395643,trough,2.4988783629856424,6.0,7.58851924269176
2325.729381616121,peak,2.4394513087344984,2584.1414149594834,peak,2.4615236736607735,1.0,7.288987657129203
2325.729381616121,peak,2.4394513087344984,2704.614596051423,trough,2.4684875177200447,1.5,7.49507944066243
2325.729381616121,peak,2.4394513087344984,2841.635169188367,peak,2.4743239886453106,2.0,7.381825987850784
2325.729381616121,peak,2.4394513087344984,2960.9086092390266,trough,2.479070459118207,2.5,7.5158115882589325
2325.729381616121,peak,2.4394513087344984,3093.4212734000293,peak,2.484125722436693,3.0,7.475561633495649
2325.729381616121,peak,2.4394513087344984,3217.8082518249066,trough,2.4881874927515772,3.5,7.517578588154568
2325.729381616121,peak,2.4394513087344984,3350.698665594116,peak,2.4916298292550993,4.0,7.492630072129839
2325.729381616121,peak,2.4394513087344984,3466.8950395655497,trough,2.4940832818721534,4.5,7.584361793684399
2325.729381616121,peak,2.4394513087344984,3609.083763282071,peak,2.4967540044499237,5.0,7.507365813659959
2325.729381616121,peak,2.4394513087344984,3721.000043395643,trough,2.4988783629856424,5.5,7.603537621903673
2449.938891638228,trough,2.4506528867283595,2704.614596051423,trough,2.4684875177200447,1.0,7.452570635650198
2449.938891638228,trough,2.4506528867283595,2841.635169188367,peak,2.4743239886453106,1.5,7.317563581399523
2449.938891638228,trough,2.4506528867283595,2960.9086092390266,trough,2.479070459118207,2.0,7.499550168281133
2449.938891638228,trough,2.4506528867283595,3093.4212734000293,peak,2.484125722436693,2.5,7.454714971419191
2449.938891638228,trough,2.4506528867283595,3217.8082518249066,trough,2.4881874927515772,3.0,7.507018449896275
2449.938891638228,trough,2.4506528867283595,3350.698665594116,peak,2.4916298292550993,3.5,7.480094617246064
2449.938891638228,trough,2.4506528867283595,3466.8950395655497,trough,2.4940832818721534,4.0,7.584711082971063
2449.938891638228,trough,2.4506528867283595,3609.083763282071,peak,2.4967540044499237,4.5,7.499210617696753
2449.938891638228,trough,2.4506528867283595,3721.000043395643,trough,2.4988783629856424,5.0,7.6057415249201235
2584.1414149594834,peak,2.4615236736607735,2841.635169188367,peak,2.4743239886453106,1.0,7.477059754036592
2584.1414149594834,peak,2.4615236736607735,2960.9086092390266,trough,2.479070459118207,1.5,7.675036437040292
2584.1414149594834,peak,2.4615236736607735,3093.4212734000293,peak,2.484125722436693,2.0,7.5724768140807
2584.1414149594834,peak,2.4615236736607735,3217.8082518249066,trough,2.4881874927515772,2.5,7.613080528775458
2584.1414149594834,peak,2.4615236736607735,3350.698665594116,peak,2.4916298292550993,3.0,7.563063285663443
2584.1414149594834,peak,2.4615236736607735,3466.8950395655497,trough,2.4940832818721534,3.5,7.67320288553978
2584.1414149594834,peak,2.4615236736607735,3609.083763282071,peak,2.4967540044499237,4.0,7.5640203484650534
2584.1414149594834,peak,2.4615236736607735,3721.000043395643,trough,2.4988783629856424,4.5,7.6771601134037155
2704.614596051423,trough,2.4684875177200447,2960.9086092390266,trough,2.479070459118207,1.0,7.547125757717128
2704.614596051423,trough,2.4684875177200447,3093.4212734000293,peak,2.484125722436693,1.5,7.456145214276629
2704.614596051423,trough,2.4684875177200447,3217.8082518249066,trough,2.4881874927515772,2.0,7.5345417939935615
2704.614596051423,trough,2.4684875177200447,3350.698665594116,peak,2.4916298292550993,2.5,7.4911612192877834
2704.614596051423,trough,2.4684875177200447,3466.8950395655497,trough,2.4940832818721534,3.0,7.6298054067378915
2704.614596051423,trough,2.4684875177200447,3609.083763282071,peak,2.4967540044499237,3.5,7.51264374170055
2704.614596051423,trough,2.4684875177200447,3721.000043395643,trough,2.4988783629856424,4.0,7.645023104547531
2841.635169188367,peak,2.4743239886453106,3093.4212734000293,peak,2.484125722436693,1.0,7.670360646285121
2841.635169188367,peak,2.4743239886453106,3217.8082518249066,trough,2.4881874927515772,1.5,7.706544193752195
2841.635169188367,peak,2.4743239886453106,3350.698665594116,peak,2.4916298292550993,2.0,7.606811273203683
2841.635169188367,peak,2.4743239886453106,3466.8950395655497,trough,2.4940832818721534,2.5,7.754572092350774
2841.635169188367,peak,2.4743239886453106,3609.083763282071,peak,2.4967540044499237,3.0,7.59345846467553
2841.635169188367,peak,2.4743239886453106,3721.000043395643,trough,2.4988783629856424,3.5,7.736313969383565
2960.9086092390266,trough,2.479070459118207,3217.8082518249066,trough,2.4881874927515772,1.0,7.521999725038136
2960.9086092390266,trough,2.479070459118207,3350.698665594116,peak,2.4916298292550993,1.5,7.454310365746926
2960.9086092390266,trough,2.479070459118207,3466.8950395655497,trough,2.4940832818721534,2.0,7.671828296728328
2960.9086092390266,trough,2.479070459118207,3609.083763282071,peak,2.4967540044499237,2.5,7.498938999366339
2960.9086092390266,trough,2.479070459118207,3721.000043395643,trough,2.4988783629856424,3.0,7.6782223923610555
3093.4212734000293,peak,2.484125722436693,3350.698665594116,peak,2.4916298292550993,1.0,7.544306267798863
3093.4212734000293,peak,2.484125722436693,3466.8950395655497,trough,2.4940832818721534,1.5,7.8117478990886395
3093.4212734000293,peak,2.484125722436693,3609.083763282071,peak,2.4967540044499237,2.0,7.55558274907816
3093.4212734000293,peak,2.484125722436693,3721.000043395643,trough,2.4988783629856424,2.5,7.763013969142904
3217.8082518249066,trough,2.4881874927515772,3466.8950395655497,trough,2.4940832818721534,1.0,7.8277469605847925
3217.8082518249066,trough,2.4881874927515772,3609.083763282071,peak,2.4967540044499237,1.5,7.483643576353992
3217.8082518249066,trough,2.4881874927515772,3721.000043395643,trough,2.4988783629856424,2.0,7.758792674945005
3350.698665594116,peak,2.4916298292550993,3609.083763282071,peak,2.4967540044499237,1.0,7.566892990752318
3350.698665594116,peak,2.4916298292550993,3721.000043395643,trough,2.4988783629856424,1.5,7.916002699341178
3466.8950395655497,trough,2.4940832818721534,3721.000043395643,trough,2.4988783629856424,1.0,7.6910426120204605
