omega_i,kind_i,n_i,omega_j,kind_j,n_j,N,d_um
2079.2764652251467,peak,2.416212632430617,2325.729381616121,peak,2.4394513087344984,1.0,7.714519848030671
2079.2764652251467,peak,2.416212632430617,2584.1414149594834,peak,2.4615236736607735,2.0,7.495719242135258
2079.2764652251467,peak,2.416212632430617,2841.635169188367,peak,2.4743239886453106,3.0,7.489489073377887
2079.2764652251467,peak,2.416212632430617,3093.4212734000293,peak,2.484125722436693,4.0,7.5339025261106265
2079.2764652251467,peak,2.416212632430617,3350.698665594116,peak,2.4916298292550993,5.0,7.535980978301794
2079.2764652251467,peak,2.416212632430617,3609.083763282071,peak,2.4967540044499237,6.0,7.541115429441573
2325.729381616121,peak,2.4394513087344984,2584.1414149594834,peak,2.4615236736607735,1.0,7.288987657129203
2325.729381616121,peak,2.4394513087344984,2841.635169188367,peak,2.4743239886453106,2.0,7.381825987850784
2325.729381616121,peak,2.4394513087344984,3093.4212734000293,peak,2.484125722436693,3.0,7.475561633495649
2325.729381616121,peak,2.4394513087344984,3350.698665594116,peak,2.4916298292550993,4.0,7.492630072129839
2325.729381616121,peak,2.4394513087344984,3609.083763282071,peak,2.4967540044499237,5.0,7.507365813659959
2584.1414149594834,peak,2.4615236736607735,2841.635169188367,peak,2.4743239886453106,1.0,7.477059754036592
2584.1414149594834,peak,2.4615236736607735,3093.4212734000293,peak,2.484125722436693,2.0,7.5724768140807
2584.1414149594834,peak,2.4615236736607735,3350.698665594116,peak,2.4916298292550993,3.0,7.563063285663443
2584.1414149594834,peak,2.4615236736607735,3609.083763282071,peak,2.4967540044499237,4.0,7.5640203484650534
2841.635169188367,peak,2.4743239886453106,3093.4212734000293,peak,2.484125722436693,1.0,7.670360646285121
2841.635169188367,peak,2.4743239886453106,3350.698665594116,peak,2.4916298292550993,2.0,7.606811273203683
2841.635169188367,peak,2.4743239886453106,3609.083763282071,peak,2.4967540044499237,3.0,7.59345846467553
3093.4212734000293,peak,2.484125722436693,3350.698665594116,peak,2.4916298292550993,1.0,7.544306267798863
3093.4212734000293,peak,2.484125722436693,3609.083763282071,peak,2.4967540044499237,2.0,7.55558274907816
3350.698665594116,peak,2.4916298292550993,3609.083763282071,peak,2.4967540044499237,1.0,7.566892990752318
