omega_i,kind_i,n_i,omega_j,kind_j,n_j,N,d_um
1105.2844102705114,peak,2.9972182975533057,1508.7248312497816,peak,3.1620910781306955,1.0,3.433329741030446
1105.2844102705114,peak,2.9972182975533057,1722.7423498775943,trough,3.2055357135208595,1.5,3.3982945720390734
1105.2844102705114,peak,2.9972182975533057,1928.4365416123228,peak,3.239247157546328,2.0,3.4124029618993834
1105.2844102705114,peak,2.9972182975533057,2141.9650369607357,trough,3.242125520522591,2.5,3.4460537626203984
1105.2844102705114,peak,2.9972182975533057,2360.529798636868,peak,3.238548767110847,3.0,3.4670220290993083
1105.2844102705114,peak,2.9972182975533057,2566.7980182642623,trough,3.2440775630484358,3.5,3.494590361825676
1105.2844102705114,peak,2.9972182975533057,2779.3806423586966,peak,3.2522547933211787,4.0,3.497025582913202
1105.2844102705114,peak,2.9972182975533057,2997.872019113679,trough,3.2552737706025456,4.5,3.4949906412906797
1105.2844102705114,peak,2.9972182975533057,3211.9438072868124,peak,3.2555329528196038,5.0,3.5041050820237514
1105.2844102705114,peak,2.9972182975533057,3429.0394046847077,trough,3.256037797937505,5.5,3.5067680521608464
1105.2844102705114,peak,2.9972182975533057,3641.577675061429,peak,3.259052518614338,6.0,3.511227586651827
1314.4840071807434,trough,3.1217201835213095,1722.7423498775943,trough,3.2055357135208595,1.0,3.5283184697154835
1314.4840071807434,trough,3.1217201835213095,1928.4365416123228,peak,3.239247157546328,1.5,3.5036864129407497
1314.4840071807434,trough,3.1217201835213095,2141.9650369607357,trough,3.242125520522591,2.0,3.5242865111891475
1314.4840071807434,trough,3.1217201835213095,2360.529798636868,peak,3.238548767110847,2.5,3.534472286173103
1314.4840071807434,trough,3.1217201835213095,2566.7980182642623,trough,3.2440775630484358,3.0,3.5563089360929103
1314.4840071807434,trough,3.1217201835213095,2779.3806423586966,peak,3.2522547933211787,3.5,3.550226975284665
1314.4840071807434,trough,3.1217201835213095,2997.872019113679,trough,3.2552737706025456,4.0,3.541138089019409
1314.4840071807434,trough,3.1217201835213095,3211.9438072868124,peak,3.2555329528196038,4.5,3.54631977903141
1314.4840071807434,trough,3.1217201835213095,3429.0394046847077,trough,3.256037797937505,5.0,3.545045903093703
1314.4840071807434,trough,3.1217201835213095,3641.577675061429,peak,3.259052518614338,5.5,3.546494124069952
1508.7248312497816,peak,3.1620910781306955,1928.4365416123228,peak,3.239247157546328,1.0,3.3917297424459205
1508.7248312497816,peak,3.1620910781306955,2141.9650369607357,trough,3.242125520522591,1.5,3.454588968564475
1508.7248312497816,peak,3.1620910781306955,2360.529798636868,peak,3.238548767110847,2.0,3.4841173702050314
1508.7248312497816,peak,3.1620910781306955,2566.7980182642623,trough,3.2440775630484358,2.5,3.5197111285470175
1508.7248312497816,peak,3.1620910781306955,2779.3806423586966,peak,3.2522547933211787,3.0,3.5187859975763947
1508.7248312497816,peak,3.1620910781306955,2997.872019113679,trough,3.2552737706025456,3.5,3.5130169392448276
1508.7248312497816,peak,3.1620910781306955,3211.9438072868124,peak,3.2555329528196038,4.0,3.522257209394586
1508.7248312497816,peak,3.1620910781306955,3429.0394046847077,trough,3.256037797937505,4.5,3.523516360347691
1508.7248312497816,peak,3.1620910781306955,3641.577675061429,peak,3.259052518614338,5.0,3.527233265869392
1722.7423498775943,trough,3.2055357135208595,2141.9650369607357,trough,3.242125520522591,1.0,3.5202637571230646
1722.7423498775943,trough,3.2055357135208595,2360.529798636868,peak,3.238548767110847,1.5,3.538586769920977
