omega_i,kind_i,n_i,omega_j,kind_j,n_j,N,d_um
1113.8212227288698,peak,3.729855168778971,1520.4481785593011,peak,3.4942999347479056,1.0,4.3330173594738035
1113.8212227288698,peak,3.729855168778971,1738.851967171785,trough,3.4768680239169365,1.5,3.9796097810787425
1113.8212227288698,peak,3.729855168778971,1945.789602385392,peak,3.4866107528793115,2.0,3.8151697196068852
1113.8212227288698,peak,3.729855168778971,2162.111934716956,trough,3.4788630097663473,2.5,3.724152596750237
1113.8212227288698,peak,3.729855168778971,2392.7183551221297,peak,3.470814609825981,3.0,3.6256563835080287
1113.8212227288698,peak,3.729855168778971,2590.8495358793366,trough,3.4741468907046875,3.5,3.621987541955452
1113.8212227288698,peak,3.729855168778971,2804.7164853883246,peak,3.4822971228725366,4.0,3.57432345847912
1113.8212227288698,peak,3.729855168778971,3021.909923638965,trough,3.488734526394622,4.5,3.532619233335164
1113.8212227288698,peak,3.729855168778971,3243.090505929119,peak,3.4951654415199447,5.0,3.491796022688442
1113.8212227288698,peak,3.729855168778971,3453.140576032606,trough,3.502674954052817,5.5,3.4731931238715874
1113.8212227288698,peak,3.729855168778971,3665.988839583138,peak,3.5126228264026444,6.0,3.449126376548938
1325.228657338097,trough,3.5813704980964323,1738.851967171785,trough,3.4768680239169365,1.0,3.8602292004471805
1325.228657338097,trough,3.5813704980964323,1945.789602385392,peak,3.4866107528793115,1.5,3.691365678110273
1325.228657338097,trough,3.5813704980964323,2162.111934716956,trough,3.4788630097663473,2.0,3.613864042023192
1325.228657338097,trough,3.5813704980964323,2392.7183551221297,peak,3.470814609825981,2.5,3.5232755617280014
1325.228657338097,trough,3.5813704980964323,2590.8495358793366,trough,3.4741468907046875,3.0,3.535855867229518
1325.228657338097,trough,3.5813704980964323,2804.7164853883246,peak,3.4822971228725366,3.5,3.4957229942024735
1325.228657338097,trough,3.5813704980964323,3021.909923638965,trough,3.488734526394622,4.0,3.4602885757579793
1325.228657338097,trough,3.5813704980964323,3243.090505929119,peak,3.4951654415199447,4.5,3.424505187362735
1325.228657338097,trough,3.5813704980964323,3453.140576032606,trough,3.502674954052817,5.0,3.411367676815951
1325.228657338097,trough,3.5813704980964323,3665.988839583138,peak,3.5126228264026444,5.5,3.391499535306615
1520.4481785593011,peak,3.4942999347479056,1945.789602385392,peak,3.4866107528793115,1.0,3.407886351535692
1520.4481785593011,peak,3.4942999347479056,2162.111934716956,trough,3.4788630097663473,1.5,3.405162638214238
1520.4481785593011,peak,3.4942999347479056,2392.7183551221297,peak,3.470814609825981,2.0,3.3520471258356435
1520.4481785593011,peak,3.4942999347479056,2590.8495358793366,trough,3.4741468907046875,2.5,3.3988901445745863
1520.4481785593011,peak,3.4942999347479056,2804.7164853883246,peak,3.4822971228725366,3.0,3.377211416129475
1520.4481785593011,peak,3.4942999347479056,3021.909923638965,trough,3.488734526394622,3.5,3.3555235865773785
1520.4481785593011,peak,3.4942999347479056,3243.090505929119,peak,3.4951654415199447,4.0,3.3301646839063546
1520.4481785593011,peak,3.4942999347479056,3453.140576032606,trough,3.502674954052817,4.5,3.3265050109727223
1520.4481785593011,peak,3.4942999347479056,3665.988839583138,peak,3.5126228264026444,5.0,3.313925050222553
1738.851967171785,trough,3.4768680239169365,2162.111934716956,trough,3.4788630097663473,1.0,3.397059042690232
1738.851967171785,trough,3.4768680239169365,2392.7183551221297,peak,3.470814609825981,1.5,3.3295228457095654
1738.851967171785,trough,3.4768680239169365,2590.8495358793366,trough,3.4741468907046875,2.0,3.393287645626178
1738.851967171785,trough,3.4768680239169365,2804.7164853883246,peak,3.4822971228725366,2.5,3.3684935734144297
1738.851967171785,trough,3.4768680239169365,3021.909923638965,trough,3.488734526394622,3.0,3.344776271354219
1738.851967171785,trough,3.4768680239169365,3243.090505929119,peak,3.4951654415199447,3.5,3.3175151656110224
1738.851967171785,trough,3.4768680239169365,3453.140576032606,trough,3.502674954052817,4.0,3.31500184579411
1738.851967171785,trough,3.4768680239169365,3665.988839583138,peak,3.5126228264026444,4.5,3.3023897969236473
1945.789602385392,peak,3.4866107528793115,2392.7183551221297,peak,3.470814609825981,1.0,3.298008284754557
1945.789602385392,peak,3.4866107528793115,2590.8495358793366,trough,3.4741468907046875,1.5,3.392919013986397
1945.789602385392,peak,3.4866107528793115,2804.7164853883246,peak,3.4822971228725366,2.0,3.3620801031459804
1945.789602385392,peak,3.4866107528793115,3021.909923638965,trough,3.488734526394622,2.5,3.3350262836270423
1945.789602385392,peak,3.4866107528793115,3243.090505929119,peak,3.4951654415199447,3.0,3.3050393187060543
1945.789602385392,peak,3.4866107528793115,3453.140576032606,trough,3.502674954052817,3.5,3.3039622674021896
1945.789602385392,peak,3.4866107528793115,3665.988839583138,peak,3.5126228264026444,4.0,3.2912387686294684
2162.111934716956,trough,3.4788630097663473,2590.8495358793366,trough,3.4741468907046875,1.0,3.3895246132460244
2162.111934716956,trough,3.4788630097663473,2804.7164853883246,peak,3.4822971228725366,1.5,3.3497153323522793
2162.111934716956,trough,3.4788630097663473,3021.909923638965,trough,3.488734526394622,2.0,3.3192337744094513
2162.111934716956,trough,3.4788630097663473,3243.090505929119,peak,3.4951654415199447,2.5,3.2867309701062517
2162.111934716956,trough,3.4788630097663473,3453.140576032606,trough,3.502674954052817,3.0,3.2885233531824647
2162.111934716956,trough,3.4788630097663473,3665.988839583138,peak,3.5126228264026444,3.5,3.276302935660584
2392.7183551221297,peak,3.470814609825981,2804.7164853883246,peak,3.4822971228725366,1.0,3.4286907456328573
2392.7183551221297,peak,3.470814609825981,3021.909923638965,trough,3.488734526394622,1.5,3.3601701001854614
2392.7183551221297,peak,3.470814609825981,3243.090505929119,peak,3.4951654415199447,2.0,3.3085660897902294
2392.7183551221297,peak,3.470814609825981,3453.140576032606,trough,3.502674954052817,2.5,3.306349884186349
2392.7183551221297,peak,3.470814609825981,3665.988839583138,peak,3.5126228264026444,3.0,3.2889884346580462
2590.8495358793366,trough,3.4741468907046875,3021.909923638965,trough,3.488734526394622,1.0,3.2517990428380066
2590.8495358793366,trough,3.4741468907046875,3243.090505929119,peak,3.4951654415199447,1.5,3.2215970192578838
2590.8495358793366,trough,3.4741468907046875,3453.140576032606,trough,3.502674954052817,2.0,3.240246817556902
2590.8495358793366,trough,3.4741468907046875,3665.988839583138,peak,3.5126228264026444,2.5,3.2331042539329586
2804.7164853883246,peak,3.4822971228725366,3243.090505929119,peak,3.4951654415199447,1.0,3.1965736872822275
2804.7164853883246,peak,3.4822971228725366,3453.140576032606,trough,3.502674954052817,1.5,3.2295269530611166
2804.7164853883246,peak,3.4822971228725366,3665.988839583138,peak,3.5126228264026444,2.0,3.2233211798305383
3021.909923638965,trough,3.488734526394622,3453.140576032606,trough,3.502674954052817,1.0,3.228776381760276
3021.909923638965,trough,3.488734526394622,3665.988839583138,peak,3.5126228264026444,1.5,3.2207600247879995
3243.090505929119,peak,3.4951654415199447,3665.988839583138,peak,3.5126228264026444,1.0,3.250520071486353
